CFV COINFUND  —  SAM MASTER LIST  |  270-Day Battle Plan (Data Quality Resolved),,,,,,,,,,,,,
"2,144 firms   |   P1: 410   |   P2: 1,339   |   P3: 395   |   Phones: all resolved   |   Est. capital at 20% conversion: $5.97B",,,,,,,,,,,,,
Rank,Priority,Firm Name,City,State,Zip,Phone,AUM,AUM Tier,Est. Commit,Territory,Status,Notes,Address
1,P1,"ALTA PARTNERS INVESTMENT MANAGER, L.P.",JACKSON,WY,83001,(415) 362-4022,"$245,000,000",$200-250M,"$9,800,000",SAM Dir / Commander,,,"115 W. SNOW KING AVE, SUITE 101B"
2,P1,"THE LAUNCH PARTNERSHIP, LLC",AUSTIN,TX,78754,(415) 319-8244,"$212,184,131",$200-250M,"$8,487,365",Associate 1,,,1606 HEADWAY CIRCLE
3,P1,EVIDITY CAPITAL LLC,MIAMI,FL,33131,(212) 913-9755,"$206,921,794",$200-250M,"$8,276,872",Associate 1,,,777 BRICKELL AVE.
4,P1,"ACTIVE VENTURE PARTNERS, LLC",SAN ANTONIO,TX,78209,(703) 338-3600,"$204,962,354",$200-250M,"$8,198,494",Associate 1,,,1405 WILTSHIRE AVENUE
5,P1,"SAGA VENTURES MANAGEMENT, LLC",AUSTIN,TX,78704,(307) 215-9562,"$198,664,773",$150-200M,"$7,946,591",Associate 1,,,108 W GIBSON ST
6,P1,"RIDGELINE CAPITAL MANAGEMENT, LLC",MEMPHIS,TN,38104,(202) 670-2550,"$186,880,611",$150-200M,"$7,475,224",Associate 1,,,1350 CONCOURSE AVE
7,P1,THE VENTURE COLLECTIVE LLC,MIAMI BEACH,FL,33139,(754) 217-7160,"$184,503,652",$150-200M,"$7,380,146",Associate 1,,,1680 MICHIGAN AVENUE
8,P1,"TENMA MANAGEMENT COMPANY, LLC",NASHVILLE,TN,37215,(413) 265-0702,"$181,521,258",$150-200M,"$7,260,850",Associate 1,,,10 BURTON HILLS BLVD SUITE 400
9,P1,"OAKHOUSE PARTNERS, LLC",PARK CITY,UT,84098,(415) 851-1625,"$176,625,916",$150-200M,"$7,065,037",Associate 1,,,1389 CENTER DRIVE
10,P1,"EQUITY LENDING MANAGEMENT, LLC",MESA,AZ,85209,(480) 222-5800,"$176,397,583",$150-200M,"$7,055,903",Associate 1,,,1223 S CLEARVIEW AVE
11,P1,ANIMO VENTURES LLC,MIAMI,FL,33127,(305) 834-8372,"$174,022,203",$150-200M,"$6,960,888",Associate 1,,,120 NW 25TH STREET
12,P1,"ENSEMBLE VC MANAGEMENT, LLC",AUSTIN,TX,78746,(267) 702-0062,"$171,229,037",$150-200M,"$6,849,161",Associate 1,,,6420 BEE CAVE ROAD
13,P1,"IRONSPRING, LLC",AUSTIN,TX,78701,(903) 407-9092,"$168,654,320",$150-200M,"$6,746,173",Associate 1,,,701 BRAZOS ST.
14,P1,"BLUEMAR CAPITAL MANAGEMENT, LLC",MIAMI,FL,33131,(212) 446-2400,"$166,407,151",$150-200M,"$6,656,286",Associate 1,,,1221 BRICKELL AVENUE
15,P1,ETC INVESTMENT ADVISORS LLC,DALLAS,TX,75225,(214) 987-6125,"$162,198,271",$150-200M,"$6,487,931",Associate 1,,,5956 SHERRY LANE
16,P1,"LIFE INVESTORS MANAGEMENT COMPANY, LP",SOUTHLAKE,TX,76092,(817) 575-9553,"$160,751,243",$150-200M,"$6,430,050",Associate 1,,,410 S. NOLAN DRIVE
17,P1,VALHALLA VENTURES MANAGEMENT COMPANY LLC,MIAMI,FL,33131,(805) 952-5239,"$159,352,569",$150-200M,"$6,374,103",Associate 1,,,495 BRICKELL AVE
18,P1,1802 VENTURES GP LLC,AUSTIN,TX,78750,971585791019,"$152,728,088",$150-200M,"$6,109,124",Associate 1,,,2025 GUADALUPE STREET
19,P1,"MANIFEST ENERGY TRANSITION COMPANY, LLC",SAN ANTONIO,TX,78257,(843) 823-7900,"$149,999,999",$100-150M,"$5,250,000",Associate 1,,,23119 IH 10W
20,P1,"CARDINAL CSP INVESTMENTS GP, INC.",DALLAS,TX,75219,(214) 360-1835,"$147,996,155",$100-150M,"$5,179,865",Associate 1,,,3131 TURTLE CREEK BOULEVARD
21,P1,NEXT VENTURES,AUSTIN,TX,78746,(650) 451-2888,"$147,903,352",$100-150M,"$5,176,617",Associate 1,,,2901 BEE CAVES BUILDING O
22,P1,"ASSURANCE MEZZANINE CAPITAL, LLC",ORLANDO,FL,32801,(407) 906-2467,"$147,500,000",$100-150M,"$5,162,500",Associate 1,,,1000 LEGION PL
23,P1,SWELL COLLECTIVE MANAGEMENT,LEHI,UT,84043,(801) 560-8450,"$146,983,104",$100-150M,"$5,144,409",Associate 1,,,2701 N THANKSGIVING WAY
24,P1,INTERCAPITAL,AUSTIN,TX,78703,(504) 610-8109,"$146,973,980",$100-150M,"$5,144,089",Associate 1,,,2208 LAKE AUSTIN BLVD
25,P1,MILTON STREET CAPITAL LLC,HOUSTON,TX,77098,(713) 568-1288,"$145,882,989",$100-150M,"$5,105,905",Associate 1,,,3131 EASTSIDE STREET
26,P1,LAS OLAS VENTURE CAPITAL,FORT LAUDERDALE,FL,33301,(954) 667-7159,"$145,776,280",$100-150M,"$5,102,170",Associate 1,,,200 E LAS OLAS BLVD
27,P1,"LOCI CAPITAL GROUP, LLC",TAMPA,FL,33609,(720) 409-2820,"$145,009,065",$100-150M,"$5,075,317",Associate 1,,,4830 W KENNEDY BLVD
28,P1,"THE VENTURE CITY MANAGEMENT, LLC",MIAMI,FL,33133,(305) 764-8083,"$144,917,335",$100-150M,"$5,072,107",Associate 1,,,2665 SOUTH BAYSHORE DRIVE
29,P1,CRUX CAPITAL LTD,DALLAS,TX,75219,(469) 389-1244,"$144,330,348",$100-150M,"$5,051,562",Associate 1,,,"3838 OAK LAWN AVE, SUITE 1500"
30,P1,REPUBLIC DEAL ROOM,MIAMI,FL,33131,(857) 373-9097,"$143,813,041",$100-150M,"$5,033,456",Associate 1,,,1441 BRICKELL AVENUE
31,P1,"ALTA VENTURES MEXICO MANAGEMENT (GP), L.P.",SOUTH JORDAN,UT,84095,(877) 619-3486,"$143,781,742",$100-150M,"$5,032,361",Associate 1,,,"10897 SOUTH RIVER FRONT PARKWAY, SUITE 550"
32,P1,LEGGETT VENTURES,HOUSTON,TX,77055,(832) 804-8301,"$143,682,804",$100-150M,"$5,028,898",Associate 1,,,1106 WITTE RD
33,P1,DREAMIT VENTURES,ESTERO,FL,33928,(267) 694-0425,"$141,686,180",$100-150M,"$4,959,016",Associate 1,,,20791 THREE OAKS PKWY
34,P1,"GRAYHAWK CAPITAL, LLC",SCOTTSDALE,AZ,85251,(602) 956-8700,"$141,465,974",$100-150M,"$4,951,309",Associate 1,,,"4250 N. DRINKWATER BLVD., SUITE 300"
35,P1,"UTXO MANAGEMENT GP, LLC",NASHVILLE,TN,37219,(618) 237-2696,"$140,144,173",$100-150M,"$4,905,046",Associate 1,,,501 UNION ST STE 545
36,P1,ALTURA CAPITAL,CORAL GABLES,FL,33134,(786) 501-8850,"$139,689,000",$100-150M,"$4,889,115",Associate 1,,,355 ALHAMBRA CIRCLE
37,P1,BLUEGRASS CAPITAL PARTNERS LP,PALM BEACH,FL,33480,(212) 218-3580,"$139,285,024",$100-150M,"$4,874,976",Associate 1,,,440 ROYAL PALM WAY
38,P1,"FUNDVIEWS CAPITAL, LLC",DORAL,FL,33166,(305) 846-9175,"$139,059,990",$100-150M,"$4,867,100",Associate 1,,,3785 NW 82ND AVE
39,P1,LATITUDE 37 VENTURES LLC,HOUSTON,TX,77007,(713) 818-5539,"$138,939,719",$100-150M,"$4,862,890",Associate 1,,,1522 KNOX STREET
40,P1,"SAGE EQUITY PARTNERS, LP",HOUSTON,TX,77098,(713) 221-3751,"$137,954,594",$100-150M,"$4,828,411",Associate 1,,,3737 BUFFALO SPEEDWAY
41,P1,"MGC VENTURE PARTNERS 2018 GP, LLC",NASHVILLE,TN,37215,(615) 843-9100,"$135,536,165",$100-150M,"$4,743,766",Associate 1,,,3835 CLEGHORN AVENUE
42,P1,PAN RESOURCES MANAGEMENT LLC,HOUSTON,TX,77056,(281) 904-5234,"$135,491,588",$100-150M,"$4,742,206",Associate 1,,,"3040 POST OAK BLVD,"
43,P1,ASPECT ACQUISITION MANAGEMENT,DALLAS,TX,75205,(214) 871-8635,"$135,137,954",$100-150M,"$4,729,828",Associate 1,,,3879 MAPLE AVE
44,P1,DALFORT CAPITAL PARTNERS,DALLAS,TX,75219,(214) 396-8880,"$134,462,891",$100-150M,"$4,706,201",Associate 1,,,3963 MAPLE AVENUE
45,P1,"SEVEN POINT MANAGEMENT, INC.",HIALEAH,FL,33018,(203) 604-0323,"$131,564,000",$100-150M,"$4,604,740",Associate 1,,,4021 WEST 108TH STREET
46,P1,"PC OPPORTUNITY FUND ASSET MGR, LLC",MIAMI,FL,33131,(786) 539-4999,"$130,108,040",$100-150M,"$4,553,781",Associate 1,,,777 BRICKELL AVENUE
47,P1,PORTAL VENTURES,AUSTIN,TX,78754,(410) 303-0329,"$129,834,243",$100-150M,"$4,544,199",Associate 1,,,1606 HEADWAY CIR
48,P1,LEVEL VENTURES MANAGEMENT LLC,SUNNY ISLES BEACH,FL,33160,(646) 522-7183,"$129,677,080",$100-150M,"$4,538,698",Associate 1,,,16690 COLLINS AVENUE
49,P1,"WM CAPITAL PARTNERS, LLC",AUSTIN,TX,78701,(212) 584-6170,"$128,624,191",$100-150M,"$4,501,847",Associate 1,,,500 WEST 5TH STREET
50,P1,"HEWES FUND MANAGEMENT, LLC",DALLAS,TX,75225,(214) 647-6400,"$128,324,582",$100-150M,"$4,491,360",Associate 1,,,5956 SHERRY LANE
51,P1,"SEVEN HILLS CAPITAL, LLC",NASHVILLE,TN,37203,(615) 523-7586,"$126,286,436",$100-150M,"$4,420,025",Associate 1,,,827 19TH AVENUE SOUTH
52,P1,"IN-DEPTH PARTNERS, LLC",MIAMI BEACH,FL,33139,(786) 688-4347,"$124,940,024",$100-150M,"$4,372,901",Associate 1,,,929 ALTON ROAD
53,P1,"TANDEM PARTNERS GROUP, LLC",DRAPER,UT,84020,(801) 884-7317,"$124,727,610",$100-150M,"$4,365,466",Associate 1,,,12459 S 300 E
54,P1,"FF CAPITAL PARTNERS, LLC",TAMPA,FL,33607,(813) 775-6990,"$124,296,712",$100-150M,"$4,350,385",Associate 1,,,1311 N. WESTSHORE BOULEVARD
55,P1,"SWISS SELECT ADVISORS, LLC",DALLAS,TX,75219,(212) 796-6577,"$123,851,303",$100-150M,"$4,334,796",Associate 1,,,TWO TURTLE CREEK BUILDING
56,P1,SIP CAPITAL,PORTSMOUTH,NH,3801,(603) 825-3150,"$123,284,875",$100-150M,"$4,314,971",Associate 1,,,155 FLEET STREET
57,P1,PEREA CAPITAL,HOUSTON,TX,77057,(832) 339-7449,"$123,000,000",$100-150M,"$4,305,000",Associate 1,,,5718 WESTHEIMER RD.
58,P1,"JUNCTION ENERGY CAPITAL, LLC",HOUSTON,TX,77027,(713) 449-3992,"$122,676,696",$100-150M,"$4,293,684",Associate 1,,,3415 MERCER STREET
59,P1,"PATH CAPITAL PARTNERS, LLC",MIAMI,FL,33131,(310) 388-7011,"$122,380,328",$100-150M,"$4,283,311",Associate 1,,,"801 BRICKELL AVE, SUITE 2500"
60,P1,"BLUE ORCA, LLC",AUSTIN,TX,78704,(512) 934-4736,"$122,232,903",$100-150M,"$4,278,152",Associate 1,,,3601 SOUTH  CONGRESS AVE
61,P1,"LONGSHIP CAPITAL MANAGEMENT, LLC",SANDY,UT,84070,(310) 699-8107,"$122,091,837",$100-150M,"$4,273,214",Associate 1,,,10011 CENTENNIAL PARKWAY
62,P1,THE RUSHMERE PARTNERSHIP,NASHVILLE,TN,37215,(615) 562-3325,"$120,360,610",$100-150M,"$4,212,621",Associate 1,,,40 BURTON HILLS BLVD
63,P1,"CONGRUENT INVESTMENT PARTNERS, LLC",DALLAS,TX,75204,(214) 760-7411,"$120,275,800",$100-150M,"$4,209,653",Associate 1,,,3400 CARLISLE STREET
64,P1,"REFORMATION MANAGEMENT, LLC",MIAMI,FL,33127,(917) 971-8129,"$120,188,196",$100-150M,"$4,206,587",Associate 1,,,310 NW 26TH ST
